MLS#,property#,seller_agent_id,owner_id,listing_type,listing_price,listing_date,listing_status
1,1,4149,9196,for rent,1979,2024-01-29,unavailable
2,2,577,7061,for rent,4229,2024-02-22,unavailable
3,3,3825,5777,for rent,2279,2024-02-21,unavailable
4,4,669,8207,for rent,1015,2024-02-24,unavailable
5,5,2392,6034,for rent,4036,2024-03-02,unavailable
6,6,2557,5260,for rent,4593,2024-03-21,unavailable
7,7,3791,6139,for rent,650,2024-01-17,unavailable
8,8,108,3564,for rent,3929,2024-02-21,unavailable
9,9,4503,4992,for rent,2215,2024-01-25,unavailable
10,10,899,1444,for rent,1315,2024-02-10,unavailable
11,11,1636,8710,for rent,4465,2024-03-30,unavailable
12,12,4093,427,for rent,2750,2024-02-10,unavailable
13,13,3217,7731,for rent,1015,2024-01-19,unavailable
14,14,4284,9753,for rent,1015,2024-01-20,unavailable
15,15,3812,8752,for rent,4143,2024-03-23,unavailable
16,16,4840,1656,for rent,4293,2024-03-18,unavailable
17,17,880,8299,for rent,3200,2024-01-29,unavailable
18,18,2157,8588,for rent,1379,2024-03-05,unavailable
19,19,758,8818,for rent,3500,2024-02-11,unavailable
20,20,1596,9002,for rent,1615,2024-03-15,unavailable
21,21,3764,4906,for rent,4165,2024-01-20,unavailable
22,22,2384,8657,for rent,3843,2024-01-17,unavailable
23,23,2425,9902,for rent,2879,2024-03-06,unavailable
24,24,2,8464,for rent,3950,2024-03-07,unavailable
25,25,76,2127,for rent,1315,2024-03-03,unavailable
26,26,2153,7967,for rent,2043,2024-03-11,unavailable
27,27,873,7731,for rent,1315,2024-01-29,unavailable
28,28,4041,8268,for rent,2450,2024-02-28,unavailable
29,29,4282,2277,for rent,650,2024-02-03,unavailable
30,30,2365,3542,for rent,650,2024-02-29,unavailable
31,31,4456,6067,for rent,4336,2024-04-04,unavailable
32,32,4635,6236,for rent,2407,2024-01-29,unavailable
33,33,1981,7182,for rent,1250,2024-04-01,unavailable
34,34,1941,3641,for rent,650,2024-02-02,unavailable
35,35,373,1618,for rent,2879,2024-02-16,unavailable
36,36,945,4154,for rent,2450,2024-03-08,unavailable
37,37,3314,8207,for rent,1850,2024-02-24,unavailable
38,38,382,1627,for rent,4079,2024-04-08,unavailable
39,39,410,3197,for rent,3136,2024-02-12,unavailable
40,40,53,7948,for rent,2836,2024-02-22,unavailable
41,41,2437,8831,for rent,2836,2024-01-29,unavailable
42,42,1082,5901,for rent,3243,2024-03-19,unavailable
43,43,3976,8948,for rent,1679,2024-03-22,unavailable
44,44,409,1301,for rent,3543,2024-02-04,unavailable
45,45,4200,6089,for rent,2343,2024-03-21,unavailable
46,46,2048,4001,for rent,2707,2024-02-15,unavailable
47,47,2787,8026,for rent,4272,2024-04-03,unavailable
48,48,1607,3974,for rent,3072,2024-02-09,unavailable
49,49,644,8892,for rent,2515,2024-03-01,unavailable
50,50,504,3718,for rent,4657,2024-02-15,unavailable
51,51,4425,7550,for rent,2750,2024-03-03,unavailable
52,52,55,654,for rent,650,2024-03-22,unavailable
53,53,4268,1026,for rent,1915,2024-01-27,unavailable
54,54,4410,7189,for rent,1915,2024-02-25,unavailable
55,55,1275,7525,for rent,4015,2024-04-02,unavailable
56,56,2883,3912,for rent,3115,2024-03-15,unavailable
57,57,3203,9569,for rent,4529,2024-03-26,unavailable
58,58,326,5774,for rent,2215,2024-03-28,unavailable
59,59,4928,7603,for rent,2107,2024-03-02,unavailable
60,60,4436,3722,for rent,1015,2024-04-04,unavailable
61,61,3024,1985,for rent,1015,2024-02-01,unavailable
62,62,423,5834,for rent,1979,2024-03-16,unavailable
63,63,920,3217,for rent,4293,2024-02-15,unavailable
64,64,666,8686,for rent,3950,2024-03-24,unavailable
65,65,2101,989,for rent,3115,2024-03-25,unavailable
66,66,3697,8277,for rent,1315,2024-03-22,unavailable
67,67,4511,9144,for rent,3350,2024-01-16,unavailable
68,68,3667,3488,for rent,1015,2024-03-24,unavailable
69,69,1914,9817,for rent,2750,2024-04-01,unavailable
70,70,1162,8343,for rent,1315,2024-03-15,unavailable
71,71,2589,8181,for rent,1743,2024-02-07,unavailable
72,72,294,5493,for rent,3307,2024-03-08,unavailable
73,73,645,7740,for rent,1315,2024-03-22,unavailable
74,74,2919,9278,for rent,950,2024-01-18,unavailable
75,75,2130,7359,for rent,2750,2024-01-27,unavailable
76,76,878,7507,for rent,950,2024-03-19,unavailable
77,77,807,3740,for rent,1379,2024-03-19,unavailable
78,78,906,4896,for rent,3843,2024-01-20,unavailable
79,79,1973,3234,for rent,1979,2024-04-05,unavailable
80,80,4834,5210,for rent,4207,2024-03-09,unavailable
81,81,925,8137,for rent,3436,2024-03-17,unavailable
82,82,4956,4869,for rent,2450,2024-02-13,unavailable
83,83,668,5505,for rent,650,2024-04-06,unavailable
84,84,2320,2644,for rent,650,2024-03-12,unavailable
85,85,1802,6225,for rent,1379,2024-04-06,unavailable
86,86,806,9318,for rent,1379,2024-02-26,unavailable
87,87,122,9746,for rent,4207,2024-04-01,unavailable
88,88,733,3096,for rent,3115,2024-03-02,unavailable
89,89,929,7690,for rent,2815,2024-03-07,unavailable
90,90,3365,4330,for rent,4165,2024-03-11,unavailable
91,91,1161,2385,for rent,1550,2024-03-17,unavailable
92,92,4029,5564,for rent,4272,2024-03-16,unavailable
93,93,1691,1043,for rent,3436,2024-01-16,unavailable
94,94,1635,3128,for rent,1615,2024-01-14,unavailable
95,95,3376,1584,for rent,1315,2024-01-16,unavailable
96,96,3127,8406,for rent,3865,2024-02-12,unavailable
97,97,4988,2102,for rent,4657,2024-03-15,unavailable
98,98,4706,8462,for rent,3479,2024-04-09,unavailable
99,99,1467,4154,for rent,1615,2024-01-17,unavailable
100,100,4151,1457,for rent,1015,2024-04-12,unavailable
101,101,4138,8943,for rent,3907,2024-02-17,unavailable
102,102,1061,5367,for rent,3115,2024-01-21,unavailable
103,103,2838,7005,for rent,1250,2024-01-14,unavailable
104,104,4939,736,for rent,1743,2024-03-27,unavailable
105,105,998,7509,for rent,3865,2024-03-25,unavailable
106,106,867,3889,for rent,2772,2024-02-05,unavailable
107,107,1386,5338,for rent,1250,2024-03-15,unavailable
108,108,1981,5350,for rent,1615,2024-02-15,unavailable
109,109,2498,1886,for rent,4336,2024-03-14,unavailable
