engagement_id,buyer_id,buyer_agent_id,start_date,end_date,city,state
1,1,1451,2023-12-21,2024-04-13,Ignacioboro,Florida
2,2,3136,2024-02-24,NULL,West Jazlyn,Georgia
3,3,3092,2023-10-25,2024-04-13,Denton,Utah
4,4,375,2023-12-23,2024-04-13,Country Club,South Carolina
5,5,4698,2024-02-13,NULL,Port Demetris,South Dakota
6,6,223,2024-02-20,2024-04-13,New Ninafort,Pennsylvania
7,7,1075,2024-02-04,2024-04-13,Port Willie,Louisiana
8,8,4835,2023-12-20,2024-04-13,North Lupe,Arizona
9,9,4214,2024-02-27,NULL,East Garfield,Michigan
10,10,4880,2024-01-09,2024-04-13,Casperfurt,Georgia
11,11,4628,2023-12-08,NULL,St. Clair Shores,Oregon
12,12,1405,2023-10-27,NULL,Marquardtworth,Utah
13,13,3874,2024-03-08,NULL,Castle Rock,Michigan
14,14,3766,2024-02-18,2024-04-13,North Christopherport,Minnesota
15,15,2003,2024-02-14,2024-04-13,Fremont,Connecticut
16,16,4169,2024-04-10,2024-04-13,Fort Vinnieport,Georgia
17,17,1216,2023-11-21,NULL,Fernandofield,Delaware
18,18,4976,2023-12-29,2024-04-13,Sanfordfort,Iowa
19,19,3449,2024-03-08,NULL,Fort Chanelle,California
20,20,269,2024-02-15,2024-04-13,North Trycia,South Carolina
21,21,4136,2024-01-17,NULL,Hassanstad,Kentucky
22,22,1637,2023-11-28,NULL,Clifton,Connecticut
23,23,3898,2023-11-21,NULL,Sioux Falls,Michigan
24,24,1750,2024-02-19,2024-04-13,Langworthside,Indiana
25,25,4563,2024-01-26,2024-04-13,Chayaview,Indiana
26,26,1868,2023-11-12,2024-04-13,Fletatown,South Dakota
27,27,526,2024-02-15,2024-04-13,Estevanbury,Idaho
28,28,951,2023-12-13,2024-04-13,North Dustin,Pennsylvania
29,29,1091,2024-02-25,NULL,Somerville,West Virginia
30,30,3435,2024-03-18,NULL,Beerstead,Wyoming
31,31,2547,2024-01-16,2024-04-13,South Akeem,Montana
32,32,1471,2024-01-25,NULL,Lempiburgh,Indiana
33,33,1361,2024-01-28,2024-04-13,Kuhicton,Delaware
34,34,4261,2024-03-01,NULL,Dickiboro,Colorado
35,35,989,2024-03-15,2024-04-13,Albany,North Dakota
36,36,2989,2024-04-10,2024-04-13,Gleichnerview,Mississippi
37,37,2524,2024-04-05,NULL,New Therese,Colorado
38,38,4780,2023-10-19,NULL,Port Robbie,Oregon
39,39,407,2024-03-17,2024-04-13,Juliusmouth,Wyoming
40,40,1557,2024-03-27,NULL,Macieshire,Indiana
41,41,4723,2023-10-20,NULL,Whittier,Alaska
42,42,4480,2023-11-04,2024-04-13,Carson City,Maryland
43,43,3917,2023-12-17,NULL,DuBuquefurt,Connecticut
44,44,411,2024-01-13,2024-04-13,Erdmanport,Montana
45,45,4412,2024-04-10,NULL,Brockton,Hawaii
46,46,940,2024-02-03,2024-04-13,Schowalterhaven,North Dakota
47,47,4427,2023-11-29,2024-04-13,Kirkborough,New Jersey
48,48,3225,2024-01-13,2024-04-13,Jordynfort,Connecticut
49,49,1200,2023-11-21,2024-04-13,Zulauffield,Arkansas
50,50,1031,2023-12-29,NULL,North Eldridge,Idaho
51,51,4313,2023-12-17,2024-04-13,Sandrafield,Massachusetts
52,52,112,2024-03-09,NULL,Malloryville,Idaho
53,53,2658,2024-02-07,2024-04-13,East Ryleeland,Montana
54,54,2714,2024-03-31,2024-04-13,East Maximus,Kentucky
55,55,2851,2024-02-14,2024-04-13,Kettering,Colorado
56,56,1311,2024-03-13,2024-04-13,Cristton,Georgia
57,57,252,2023-12-07,NULL,Rohnert Park,Texas
58,58,445,2024-01-17,2024-04-13,South Major,Connecticut
59,59,2535,2023-10-24,NULL,New Axeltown,Texas
60,60,3945,2023-12-31,2024-04-13,Huntington Beach,Georgia
61,61,25,2023-10-20,NULL,Laguna Niguel,Oklahoma
62,62,2083,2023-12-20,2024-04-13,Robbport,Alaska
63,63,2226,2024-01-28,2024-04-13,Coconut Creek,Montana
64,64,2231,2023-12-31,2024-04-13,Waipahu,Wisconsin
65,65,3510,2023-10-23,2024-04-13,Allen,California
66,66,4966,2024-03-06,2024-04-13,Autumnland,Nevada
67,67,4430,2024-01-23,2024-04-13,Fort Audreanne,Nebraska
68,68,3154,2024-02-02,2024-04-13,Emmanuelchester,Indiana
69,69,4329,2024-04-09,2024-04-13,Fort D'angeloside,Virginia
70,70,4775,2023-11-29,2024-04-13,Andresfort,Montana
71,71,2470,2023-11-22,2024-04-13,Marcelton,North Dakota
72,72,434,2023-12-21,NULL,Fort Brian,Michigan
73,73,1981,2023-11-11,2024-04-13,Gabrielland,California
74,74,2130,2023-10-30,2024-04-13,West Veronica,Mississippi
75,75,2640,2024-03-19,2024-04-13,Brookeworth,California
76,76,3547,2023-11-21,2024-04-13,Janiyastad,Washington
77,77,3296,2024-01-26,2024-04-13,Roderickbury,Louisiana
78,78,3083,2024-02-06,2024-04-13,Adolphusberg,California
79,79,4155,2024-01-30,2024-04-13,New Rusty,Maryland
80,80,3519,2024-02-20,2024-04-13,Stammport,Connecticut
81,81,3129,2024-02-23,2024-04-13,Jackson,Arkansas
82,82,2411,2024-04-03,NULL,South Eviefort,Louisiana
83,83,4218,2024-03-11,2024-04-13,West Oscar,Illinois
84,84,2479,2024-03-20,2024-04-13,Port Rene,South Carolina
85,85,678,2023-11-03,2024-04-13,Lavonboro,New York
86,86,2794,2024-02-22,2024-04-13,Katelynmouth,Indiana
87,87,3026,2024-02-05,NULL,North Lonzohaven,North Carolina
88,88,1031,2024-03-28,2024-04-13,South Aidan,New York
89,89,624,2024-02-03,NULL,East Laylafield,Kentucky
