transaction_id,buyer_id,MLS#,transaction_date,transaction_amount,buyer_agent_commission,seller_agent_commission,buyer_agent_id
1,28,5001,2022-09-13,2730000,81900,81900,17
2,31,5002,2022-08-18,2155000,64650,64650,884
3,33,5003,2023-12-30,2855000,85650,85650,360
4,35,5004,2024-01-17,3655000,109650,109650,351
5,39,5005,2021-09-27,3105000,93150,93150,865
6,46,5006,2024-02-03,1705000,51150,51150,779
7,54,5007,2024-03-10,3055000,91650,91650,517
8,60,5008,2024-01-25,3030000,90900,90900,332
9,63,5009,2024-01-27,455000,13650,13650,733
10,64,5010,2023-01-24,1105000,33150,33150,658
11,66,5011,2022-08-07,1980000,59400,59400,639
12,67,5012,2022-05-04,4530000,135900,135900,725
13,70,5013,2023-07-19,4805000,144150,144150,753
14,71,5014,2021-10-15,1605000,48150,48150,143
15,73,5015,2021-12-31,3905000,117150,117150,784
16,74,5016,2022-10-02,4705000,141150,141150,402
17,76,5017,2021-07-26,1255000,37650,37650,536
18,78,5018,2023-09-05,1805000,54150,54150,731
19,81,5019,2022-12-19,180000,5400,5400,61
20,83,5020,2023-07-07,1805000,54150,54150,532
21,85,5021,2023-02-14,3955000,118650,118650,980
22,88,5022,2021-10-28,1355000,40650,40650,147
23,90,5023,2022-08-14,2555000,76650,76650,902
24,91,5024,2021-08-13,2930000,87900,87900,904
25,93,5025,2021-07-11,2805000,84150,84150,139
26,95,5026,2023-05-07,2355000,70650,70650,614
27,97,5027,2021-10-13,1230000,36900,36900,948
28,102,5028,2022-08-27,1480000,44400,44400,786
29,105,5029,2022-05-17,4680000,140400,140400,863
30,113,5030,2021-08-11,3355000,100650,100650,306
31,116,5031,2022-10-06,1080000,32400,32400,823
32,118,5032,2023-03-10,80000,2400,2400,124
33,120,5033,2021-09-06,2305000,69150,69150,541
34,121,5034,2021-08-11,4205000,126150,126150,578
35,124,5035,2023-12-20,1580000,47400,47400,343
36,134,5036,2023-07-04,4580000,137400,137400,343
37,145,5037,2022-09-01,3305000,99150,99150,101
38,148,5038,2022-06-16,5030000,150900,150900,501
39,156,5039,2023-02-07,2855000,85650,85650,761
40,161,5040,2023-07-24,2805000,84150,84150,884
41,162,5041,2023-02-01,4380000,131400,131400,269
42,163,5042,2022-08-04,1105000,33150,33150,638
43,164,5043,2023-06-26,2430000,72900,72900,380
44,170,5044,2023-07-26,4205000,126150,126150,467
45,171,5045,2022-08-13,4905000,147150,147150,726
46,174,5046,2024-03-29,1905000,57150,57150,474
47,176,5047,2023-07-12,605000,18150,18150,635
48,177,5048,2022-03-23,4080000,122400,122400,420
49,182,5049,2022-04-22,3580000,107400,107400,790
50,183,5050,2023-06-02,480000,14400,14400,628
51,186,5051,2022-02-28,1355000,40650,40650,769
52,188,5052,2023-01-26,4655000,139650,139650,467
53,189,5053,2022-10-18,405000,12150,12150,815
54,194,5054,2024-01-04,3105000,93150,93150,253
55,196,5055,2022-08-18,1580000,47400,47400,850
56,198,5056,2022-04-04,3680000,110400,110400,840
57,202,5057,2023-08-12,780000,23400,23400,990
58,204,5058,2022-06-13,1630000,48900,48900,651
59,206,5059,2022-05-23,355000,10650,10650,522
60,210,5060,2024-02-08,2855000,85650,85650,317
61,213,5061,2023-05-11,3805000,114150,114150,43
62,214,5062,2022-08-06,4305000,129150,129150,461
63,217,5063,2022-04-23,2405000,72150,72150,798
64,219,5064,2022-05-13,130000,3900,3900,11
65,222,5065,2022-12-10,105000,3150,3150,874
66,223,5066,2023-08-22,4405000,132150,132150,679
67,224,5067,2023-05-18,1130000,33900,33900,99
68,225,5068,2021-10-30,1430000,42900,42900,948
69,226,5069,2022-05-29,630000,18900,18900,845
70,234,5070,2024-03-08,830000,24900,24900,651
71,238,5071,2023-05-08,1030000,30900,30900,678
72,239,5072,2024-02-23,4755000,142650,142650,630
73,242,5073,2022-06-25,4030000,120900,120900,534
74,243,5074,2022-10-09,4205000,126150,126150,703
75,244,5075,2023-05-18,3930000,117900,117900,51
76,255,5076,2023-02-27,2630000,78900,78900,55
77,260,5077,2022-03-07,1905000,57150,57150,144
78,261,5078,2021-11-23,2055000,61650,61650,205
79,266,5079,2022-10-24,480000,14400,14400,456
80,267,5080,2023-12-15,4230000,126900,126900,744
81,276,5081,2022-01-07,3305000,99150,99150,992
82,282,5082,2022-10-25,3505000,105150,105150,978
83,285,5083,2023-10-20,655000,19650,19650,283
84,289,5084,2022-04-14,3480000,104400,104400,593
